"city","sales","volume","avgprice","listings","onmarket","month","year","date"
"Abilene",72,5380000,74700,701,6.3,1,2000,2000
"Abilene",98,6505000,66400,746,6.6,2,2000,2000.08333333333
"Abilene",130,9285000,71400,784,6.8,3,2000,2000.16666666667
"Abilene",98,9730000,99300,785,6.9,4,2000,2000.25
"Abilene",141,10590000,75100,794,6.8,5,2000,2000.33333333333
"Abilene",156,13910000,89200,780,6.6,6,2000,2000.41666666667
"Abilene",152,12635000,83100,742,6.2,7,2000,2000.5
"Abilene",131,10710000,81800,765,6.4,8,2000,2000.58333333333
"Abilene",104,7615000,73200,771,6.5,9,2000,2000.66666666667
"Abilene",101,7040000,69700,764,6.6,10,2000,2000.75
"Abilene",100,7890000,78900,721,6.2,11,2000,2000.83333333333
"Abilene",92,7285000,79200,658,5.7,12,2000,2000.91666666667
"Abilene",75,5730000,76400,779,6.8,1,2001,2001
"Abilene",112,8670000,77400,700,6,2,2001,2001.08333333333
"Abilene",118,9550000,80900,738,6.4,3,2001,2001.16666666667
"Abilene",105,8705000,82900,810,7,4,2001,2001.25
"Abilene",150,11850000,79000,772,6.6,5,2001,2001.33333333333
"Abilene",139,11290000,81200,825,7.2,6,2001,2001.41666666667
"Abilene",134,13175000,98300,801,7.1,7,2001,2001.5
"Abilene",151,11840000,78400,891,7.7,8,2001,2001.58333333333
"Abilene",116,8395000,72400,849,7.3,9,2001,2001.66666666667
"Abilene",121,9010000,74500,756,6.4,10,2001,2001.75
"Abilene",116,8955000,77200,695,5.8,11,2001,2001.83333333333
"Abilene",94,7195000,76500,620,5.2,12,2001,2001.91666666667
"Abilene",94,6530000,69500,652,5.4,1,2002,2002
"Abilene",94,6860000,73000,746,6.3,2,2002,2002.08333333333
"Abilene",107,8385000,78400,774,6.5,3,2002,2002.16666666667
"Abilene",135,10465000,77500,767,6.3,4,2002,2002.25
"Abilene",154,11465000,74400,778,6.4,5,2002,2002.33333333333
"Abilene",136,11600000,85300,758,6.3,6,2002,2002.41666666667
"Abilene",159,13500000,84900,746,6.1,7,2002,2002.5
"Abilene",155,12875000,83100,709,5.7,8,2002,2002.58333333333
"Abilene",133,9965000,74900,703,5.6,9,2002,2002.66666666667
"Abilene",134,10395000,77600,664,5.3,10,2002,2002.75
"Abilene",107,8485000,79300,643,5.1,11,2002,2002.83333333333
"Abilene",108,8150000,75500,649,5.1,12,2002,2002.91666666667
"Abilene",68,5385000,79200,668,5.4,1,2003,2003
"Abilene",110,8500000,77300,716,5.7,2,2003,2003.08333333333
"Abilene",120,9445000,78700,765,6,3,2003,2003.16666666667
"Abilene",125,11270000,90200,763,6.1,4,2003,2003.25
"Abilene",142,12030000,84700,750,6,5,2003,2003.33333333333
"Abilene",132,11545000,87500,777,6.2,6,2003,2003.41666666667
"Abilene",171,13940000,81500,778,6.2,7,2003,2003.5
"Abilene",193,16230000,84100,731,5.7,8,2003,2003.58333333333
